source,target,film
Jennifer Lawrence,Anupam Kher,Silver Linings Playbook
Anupam Kher,Salman Khan,Dhaai Akshar Prem Ke
Robert Downey Jr,Dilyana Bouklieva,Avengers: Age of Ultron
Dilyana Bouklieva,Salman Khan,London Dreams
Donald Trump,Ally Sheedy,Home Alone 2
Ally Sheedy,Lea Moreno,Sins of Our Youth
Lea Moreno,Salman Khan,Marigold
Robert Downey Jr,Ian McKellen,Restoration
Ian McKellen,Jennifer Lawrence,X-men Days of Future Past
Ian McKellen,Chris Wilson,The Golden Compass
Chris Wilson,Salman Khan,London Dreams
Chris Wilson,Dilyana Bouklieva,London Dreams
Jennifer Lawrence,Ally Sheedy,X-Men Apocalypse
